Participant Number,Which institute are you from?,Q5,Q14,Q15,Q22,Q29,Q32,Q43,Q47
1,ZJE,3,2,3,4,3,4,3,3
2,ZJE,4,2,3,2,3,3,2,2
3,ZJE,4,2,3,4,4,3,2,2
4,ZJE,4,2,3,3,3,3,3,3
5,ZJE,3,3,2,2,3,2,3,3
6,ZJE,4,2,3,4,2,4,4,4
7,ZJE,4,2,3,2,2,3,3,2
8,ZJE,4,2,3,2,3,3,2,2
9,ZJE,3,2,3,3,3,3,3,4
10,ZJE,4,3,3,3,3,3,3,3
11,ZJE,4,3,2,4,3,3,3,2
12,ZJE,1,2,3,1,2,3,3,4
13,ZJE,4,2,3,3,4,3,2,3
14,ZJE,4,3,3,3,3,4,4,2
15,ZJE,4,2,3,3,3,4,4,4
16,ZJE,3,3,3,4,4,3,3,2
17,ZJE,4,3,3,4,2,2,4,3
18,ZJE,4,2,3,3,3,4,3,2
19,ZJE,4,2,3,3,4,4,3,2
20,ZJE,4,2,3,3,3,4,4,2
21,ZJE,4,3,3,4,3,4,4,3
22,ZJE,4,3,2,3,4,4,3,3
23,ZJE,1,3,3,3,3,4,3,3
24,ZJE,4,2,3,3,3,4,2,2
25,ZJE,3,2,3,2,3,3,1,2
26,ZJE,3,1,3,3,3,4,3,2
27,ZJE,4,2,3,3,3,3,3,2
28,ZJE,3,2,3,2,3,2,3,3
29,ZJE,4,2,3,4,3,4,4,3
30,ZJE,1,2,2,3,4,3,3,3
31,ZJE,4,4,2,3,3,4,3,2
32,ZJE,3,3,2,3,3,4,3,3
33,ZJE,4,2,3,3,2,3,3,2
34,ZJE,2,2,2,2,3,3,2,2
35,ZJE,3,2,2,3,3,3,3,3
36,ZJE,4,3,2,3,3,2,4,4
37,ZJE,4,2,3,4,3,3,3,2
38,ZJE,4,1,3,4,4,4,3,3
39,ZJE,4,2,1,4,4,4,4,4
40,ZJE,3,1,2,3,3,4,2,2
41,ZJE,1,3,3,3,3,3,3,3
42,ZJE,4,2,3,3,4,3,3,3
43,ZJE,4,2,3,2,2,3,4,3
44,ZJE,2,2,2,3,3,3,3,2
45,ZJE,3,3,2,3,3,3,3,3
46,ZJE,3,3,3,4,3,3,4,3
47,ZJE,3,2,3,3,2,4,2,2
48,ZJE,4,2,3,3,3,4,3,2
49,ZJE,4,1,3,2,3,4,4,4
50,ZJE,4,3,3,2,2,4,4,3
51,ZJE,3,2,3,2,3,3,2,2
52,ZJE,4,1,3,3,3,3,4,4
53,ZJE,4,2,2,2,2,3,4,3
54,ZJE,3,2,3,4,3,4,2,2
55,ZJE,4,2,2,4,3,3,2,2
56,ZJE,4,1,4,4,3,3,2,2
57,ZJE,1,2,2,4,4,2,3,1
58,ZJE,2,2,3,4,4,3,2,2
59,ZJE,4,2,3,4,3,3,4,2
60,ZJE,4,2,3,3,3,4,4,2
61,ZJE,3,2,3,3,2,3,3,3
62,ZJE,4,2,3,3,2,3,3,1
63,ZJE,2,2,2,2,2,3,3,3
64,ZJE,3,4,2,3,3,2,4,2
